"participant";"environment";"trial";"option";"attribute"
44;"compensatory";3;2;"f"
44;"compensatory";3;2;"s"
44;"compensatory";3;2;"s"
44;"compensatory";3;2;"s"
44;"compensatory";3;2;"s"
44;"compensatory";3;1;"f"
44;"compensatory";3;1;"f"
44;"compensatory";3;1;"f"
44;"compensatory";3;1;"f"
44;"compensatory";3;1;"s"
44;"compensatory";3;1;"s"
44;"compensatory";3;1;"s"
44;"compensatory";3;4;"b"
44;"compensatory";3;1;"s"
44;"compensatory";3;1;"b"
44;"compensatory";3;1;"b"
44;"compensatory";3;1;"b"
44;"compensatory";3;1;"s"
44;"compensatory";3;1;"s"
44;"compensatory";3;4;"b"
44;"compensatory";3;4;"b"
44;"compensatory";3;4;"b"
44;"compensatory";4;2;"s"
44;"compensatory";4;2;"f"
44;"compensatory";4;4;"b"
44;"compensatory";4;4;"b"
44;"compensatory";4;3;"b"
44;"compensatory";4;4;"b"
44;"compensatory";4;4;"f"
44;"compensatory";4;4;"p"
44;"compensatory";4;4;"p"
44;"compensatory";4;4;"s"
44;"compensatory";4;4;"s"
44;"compensatory";4;4;"s"
44;"compensatory";4;4;"s"
44;"compensatory";4;4;"f"
44;"compensatory";4;2;"s"
44;"compensatory";4;2;"s"
44;"compensatory";4;2;"s"
44;"compensatory";4;2;"s"
44;"compensatory";4;2;"s"
44;"compensatory";4;2;"f"
44;"compensatory";4;2;"f"
44;"compensatory";4;2;"f"
44;"compensatory";4;2;"f"
44;"compensatory";4;2;"p"
44;"compensatory";4;2;"p"
44;"compensatory";4;2;"p"
44;"compensatory";4;1;"b"
44;"compensatory";4;1;"p"
44;"compensatory";4;1;"p"
44;"compensatory";4;1;"s"
44;"compensatory";4;1;"f"
44;"compensatory";4;2;"s"
44;"compensatory";4;2;"f"
44;"compensatory";4;2;"f"
44;"compensatory";4;2;"s"
44;"compensatory";4;2;"s"
44;"compensatory";4;2;"s"
44;"compensatory";4;2;"s"
44;"compensatory";4;2;"s"
44;"compensatory";4;2;"p"
44;"compensatory";4;3;"s"
44;"compensatory";4;3;"s"
44;"compensatory";4;3;"s"
44;"compensatory";4;3;"s"
44;"compensatory";4;3;"s"
44;"compensatory";4;3;"s"
44;"compensatory";4;3;"s"
44;"compensatory";4;3;"p"
44;"compensatory";4;3;"p"
44;"compensatory";4;3;"p"
44;"compensatory";4;3;"p"
44;"compensatory";4;3;"f"
44;"compensatory";4;3;"f"
44;"compensatory";4;3;"f"
44;"compensatory";4;3;"f"
44;"compensatory";4;3;"f"
44;"compensatory";4;3;"s"
44;"compensatory";4;3;"s"
44;"compensatory";4;3;"s"
44;"compensatory";4;3;"s"
44;"compensatory";4;1;"f"
44;"compensatory";4;1;"f"
44;"compensatory";4;1;"s"
44;"compensatory";4;1;"s"
44;"compensatory";4;1;"s"
44;"compensatory";4;1;"p"
44;"compensatory";4;1;"p"
44;"compensatory";4;1;"p"
44;"compensatory";4;1;"b"
44;"compensatory";4;1;"f"
44;"compensatory";4;1;"f"
44;"compensatory";4;1;"s"
44;"compensatory";4;1;"s"
44;"compensatory";4;1;"p"
44;"compensatory";4;1;"p"
44;"compensatory";4;1;"b"
44;"compensatory";4;1;"b"
44;"compensatory";4;1;"f"
44;"compensatory";4;1;"f"
44;"compensatory";4;1;"f"
44;"compensatory";4;1;"p"
44;"compensatory";4;1;"p"
44;"compensatory";4;2;"p"
44;"compensatory";4;2;"p"
44;"compensatory";4;2;"p"
44;"compensatory";4;2;"p"
44;"compensatory";4;2;"p"
44;"compensatory";4;2;"s"
44;"compensatory";4;2;"s"
44;"compensatory";4;2;"s"
44;"compensatory";4;2;"f"
44;"compensatory";4;2;"p"
44;"compensatory";4;2;"p"
44;"compensatory";4;2;"p"
44;"compensatory";4;2;"p"
44;"compensatory";4;2;"s"
44;"compensatory";4;2;"s"
44;"compensatory";4;2;"s"
44;"compensatory";5;3;"p"
44;"compensatory";5;3;"p"
44;"compensatory";5;3;"p"
44;"compensatory";5;3;"b"
44;"compensatory";5;3;"f"
44;"compensatory";5;3;"f"
44;"compensatory";5;3;"f"
44;"compensatory";5;3;"f"
44;"compensatory";5;3;"f"
44;"compensatory";5;3;"s"
44;"compensatory";5;3;"p"
44;"compensatory";5;3;"p"
44;"compensatory";5;2;"p"
44;"compensatory";5;2;"p"
44;"compensatory";5;2;"p"
44;"compensatory";5;2;"s"
44;"compensatory";5;2;"f"
44;"compensatory";5;2;"f"
44;"compensatory";5;2;"s"
44;"compensatory";5;2;"p"
44;"compensatory";5;2;"p"
44;"compensatory";5;2;"f"
44;"compensatory";5;2;"f"
44;"compensatory";5;2;"b"
44;"compensatory";5;2;"b"
44;"compensatory";5;3;"f"
44;"compensatory";5;3;"f"
44;"compensatory";5;4;"s"
44;"compensatory";5;4;"s"
44;"compensatory";5;4;"p"
44;"compensatory";5;4;"b"
44;"compensatory";5;4;"f"
44;"compensatory";5;4;"f"
44;"compensatory";5;4;"s"
44;"compensatory";5;4;"p"
44;"compensatory";5;4;"p"
44;"compensatory";5;4;"p"
44;"compensatory";5;4;"p"
44;"compensatory";5;4;"p"
44;"compensatory";5;4;"s"
44;"compensatory";5;4;"s"
44;"compensatory";5;4;"p"
44;"compensatory";5;4;"p"
44;"compensatory";5;4;"b"
44;"compensatory";5;4;"b"
44;"compensatory";5;4;"s"
44;"compensatory";5;4;"s"
44;"compensatory";5;4;"p"
44;"compensatory";5;4;"p"
44;"compensatory";5;4;"p"
44;"compensatory";5;4;"s"
44;"compensatory";5;4;"s"
44;"compensatory";5;4;"s"
44;"compensatory";5;4;"s"
44;"compensatory";5;4;"f"
44;"compensatory";5;4;"f"
44;"compensatory";5;1;"b"
44;"compensatory";5;1;"p"
44;"compensatory";5;1;"p"
44;"compensatory";5;1;"p"
44;"compensatory";5;1;"p"
44;"compensatory";5;1;"p"
44;"compensatory";5;1;"p"
44;"compensatory";5;1;"s"
44;"compensatory";5;1;"s"
44;"compensatory";5;1;"f"
44;"compensatory";5;1;"f"
44;"compensatory";5;1;"s"
44;"compensatory";5;1;"s"
44;"compensatory";5;2;"f"
44;"compensatory";5;2;"f"
44;"compensatory";5;2;"f"
44;"compensatory";5;2;"p"
44;"compensatory";5;2;"p"
44;"compensatory";5;2;"s"
44;"compensatory";5;2;"s"
44;"compensatory";5;3;"s"
44;"compensatory";5;3;"f"
44;"compensatory";5;3;"f"
44;"compensatory";5;3;"s"
44;"compensatory";5;3;"p"
44;"compensatory";5;3;"p"
44;"compensatory";5;3;"b"
44;"compensatory";5;3;"b"
44;"compensatory";5;3;"f"
44;"compensatory";5;3;"f"
44;"compensatory";5;3;"f"
44;"compensatory";5;1;"f"
44;"compensatory";5;1;"f"
44;"compensatory";5;3;"p"
44;"compensatory";5;3;"s"
44;"compensatory";5;3;"s"
44;"compensatory";5;1;"f"
44;"compensatory";5;1;"f"
44;"compensatory";5;1;"s"
44;"compensatory";5;1;"p"
44;"compensatory";5;1;"p"
44;"compensatory";5;1;"p"
44;"compensatory";5;1;"f"
44;"compensatory";5;1;"f"
44;"compensatory";6;3;"s"
44;"compensatory";6;3;"s"
44;"compensatory";6;3;"b"
44;"compensatory";6;4;"s"
44;"compensatory";6;4;"b"
44;"compensatory";6;4;"b"
44;"compensatory";6;1;"s"
44;"compensatory";6;1;"s"
44;"compensatory";6;1;"s"
44;"compensatory";6;1;"b"
44;"compensatory";6;4;"s"
44;"compensatory";6;4;"b"
44;"compensatory";6;4;"b"
44;"compensatory";6;4;"p"
44;"compensatory";6;4;"f"
44;"compensatory";6;1;"p"
44;"compensatory";6;2;"b"
44;"compensatory";6;2;"b"
44;"compensatory";6;2;"s"
44;"compensatory";6;2;"s"
44;"compensatory";6;2;"s"
44;"compensatory";6;4;"s"
44;"compensatory";6;4;"s"
44;"compensatory";6;4;"p"
44;"compensatory";6;4;"p"
44;"compensatory";6;4;"f"
44;"compensatory";6;4;"f"
44;"compensatory";6;4;"p"
44;"compensatory";6;4;"p"
44;"compensatory";6;4;"s"
44;"compensatory";6;4;"s"
44;"compensatory";6;1;"s"
44;"compensatory";6;1;"s"
44;"compensatory";6;1;"s"
44;"compensatory";6;1;"s"
44;"compensatory";6;1;"s"
44;"compensatory";6;1;"s"
44;"compensatory";6;1;"p"
44;"compensatory";6;1;"p"
44;"compensatory";6;1;"f"
44;"compensatory";6;1;"f"
44;"compensatory";6;1;"p"
44;"compensatory";6;1;"p"
44;"compensatory";6;1;"p"
44;"compensatory";6;1;"s"
44;"compensatory";6;1;"p"
44;"compensatory";6;1;"p"
44;"compensatory";6;1;"p"
44;"compensatory";6;1;"p"
44;"compensatory";6;1;"s"
44;"compensatory";6;1;"s"
44;"compensatory";6;1;"s"
44;"compensatory";6;1;"s"
44;"compensatory";6;1;"p"
44;"compensatory";6;1;"p"
44;"compensatory";6;1;"f"
44;"compensatory";6;2;"b"
44;"compensatory";6;2;"s"
44;"compensatory";6;2;"s"
44;"compensatory";6;2;"p"
44;"compensatory";6;2;"p"
44;"compensatory";6;2;"f"
44;"compensatory";6;2;"f"
44;"compensatory";6;2;"b"
44;"compensatory";6;2;"p"
44;"compensatory";6;2;"p"
44;"compensatory";6;2;"f"
44;"compensatory";6;2;"f"
44;"compensatory";6;2;"s"
44;"compensatory";6;2;"s"
44;"compensatory";6;2;"s"
44;"compensatory";6;3;"s"
44;"compensatory";6;3;"s"
44;"compensatory";6;3;"s"
44;"compensatory";6;3;"s"
44;"compensatory";6;3;"s"
44;"compensatory";6;3;"b"
44;"compensatory";6;3;"f"
44;"compensatory";6;3;"f"
44;"compensatory";6;3;"f"
44;"compensatory";6;3;"s"
44;"compensatory";6;3;"s"
44;"compensatory";6;3;"s"
44;"compensatory";6;3;"p"
44;"compensatory";6;3;"s"
44;"compensatory";6;3;"s"
44;"compensatory";6;3;"p"
44;"compensatory";6;3;"p"
44;"compensatory";6;3;"f"
44;"compensatory";6;3;"p"
44;"compensatory";6;2;"f"
44;"compensatory";6;2;"f"
44;"compensatory";6;2;"p"
44;"compensatory";6;2;"p"
44;"compensatory";6;2;"s"
44;"compensatory";6;2;"s"
44;"compensatory";6;2;"s"
44;"compensatory";6;2;"s"
44;"compensatory";6;2;"s"
44;"compensatory";6;4;"p"
44;"compensatory";6;4;"p"
44;"compensatory";6;4;"p"
44;"compensatory";6;4;"s"
44;"compensatory";6;4;"s"
44;"compensatory";6;4;"s"
44;"compensatory";6;1;"p"
44;"compensatory";6;1;"p"
44;"compensatory";6;1;"p"
44;"compensatory";6;1;"s"
44;"compensatory";6;3;"s"
44;"compensatory";6;3;"s"
44;"compensatory";6;3;"s"
44;"compensatory";6;3;"s"
44;"compensatory";6;3;"s"
44;"compensatory";6;3;"s"
44;"compensatory";6;3;"s"
44;"compensatory";6;3;"s"
44;"compensatory";6;3;"s"
44;"compensatory";7;3;"s"
44;"compensatory";7;3;"s"
44;"compensatory";7;3;"p"
44;"compensatory";7;3;"p"
44;"compensatory";7;3;"f"
44;"compensatory";7;3;"f"
44;"compensatory";7;3;"s"
44;"compensatory";7;3;"s"
44;"compensatory";7;1;"s"
44;"compensatory";7;1;"s"
44;"compensatory";7;1;"s"
44;"compensatory";7;1;"b"
44;"compensatory";7;1;"f"
44;"compensatory";7;1;"s"
44;"compensatory";7;1;"s"
44;"compensatory";7;1;"s"
44;"compensatory";7;2;"s"
44;"compensatory";7;2;"s"
44;"compensatory";7;2;"s"
44;"compensatory";7;4;"s"
44;"compensatory";7;4;"s"
44;"compensatory";7;4;"s"
44;"compensatory";7;4;"s"
44;"compensatory";7;3;"s"
44;"compensatory";7;3;"s"
44;"compensatory";7;3;"s"
44;"compensatory";7;3;"s"
44;"compensatory";7;3;"s"
44;"compensatory";7;3;"s"
44;"compensatory";7;3;"s"
44;"compensatory";8;2;"f"
44;"compensatory";8;2;"s"
44;"compensatory";8;2;"b"
44;"compensatory";8;2;"f"
44;"compensatory";8;1;"s"
44;"compensatory";8;1;"s"
44;"compensatory";8;1;"s"
44;"compensatory";8;1;"s"
44;"compensatory";8;1;"p"
44;"compensatory";8;1;"b"
44;"compensatory";8;1;"b"
44;"compensatory";8;1;"f"
44;"compensatory";8;1;"f"
44;"compensatory";8;1;"s"
44;"compensatory";8;1;"s"
44;"compensatory";8;1;"p"
44;"compensatory";8;1;"p"
44;"compensatory";8;2;"s"
44;"compensatory";8;2;"b"
44;"compensatory";8;2;"p"
44;"compensatory";8;3;"p"
44;"compensatory";8;3;"s"
44;"compensatory";8;3;"s"
44;"compensatory";8;1;"s"
44;"compensatory";8;1;"s"
44;"compensatory";8;1;"s"
44;"compensatory";8;1;"s"
44;"compensatory";8;2;"s"
44;"compensatory";8;2;"s"
44;"compensatory";8;2;"s"
44;"compensatory";8;1;"s"
44;"compensatory";8;1;"s"
44;"compensatory";8;2;"s"
44;"compensatory";8;4;"s"
44;"compensatory";8;2;"s"
44;"compensatory";8;2;"s"
44;"compensatory";8;2;"f"
44;"compensatory";8;2;"b"
44;"compensatory";8;4;"s"
44;"compensatory";8;4;"s"
44;"compensatory";8;4;"s"
44;"compensatory";8;3;"s"
44;"compensatory";8;3;"s"
44;"compensatory";8;3;"s"
44;"compensatory";8;2;"f"
44;"compensatory";8;2;"s"
44;"compensatory";8;2;"s"
44;"compensatory";8;2;"s"
44;"compensatory";9;1;"p"
44;"compensatory";9;1;"s"
44;"compensatory";9;1;"s"
44;"compensatory";9;1;"p"
44;"compensatory";9;1;"p"
44;"compensatory";9;1;"f"
44;"compensatory";9;1;"f"
44;"compensatory";9;1;"p"
44;"compensatory";9;1;"p"
44;"compensatory";9;2;"s"
44;"compensatory";9;2;"p"
44;"compensatory";9;2;"p"
44;"compensatory";9;2;"p"
44;"compensatory";9;4;"p"
44;"compensatory";9;4;"p"
44;"compensatory";9;3;"s"
44;"compensatory";9;3;"s"
44;"compensatory";9;3;"s"
